Running data/glass.data.new.txt Experiment with positive class = 1
Average Error Rate: 0.3463414634146341
Standard Deviation: 0.06616907300610017
Learned Naive Bayes Distribution: 
Keys are structured as follows: (feature#, possible domain values 0 or 1, 'label', label value)
Special Key's that are ('label', possible_class_value) are the percentage of the distribution with that class label
{ (0, 0, 'label', 0): 0.9911504424778761,
  (0, 0, 'label', 1): 1.0,
  (0, 1, 'label', 0): 0.017699115044247787,
  (0, 1, 'label', 1): 0.018867924528301886,
  (1, 0, 'label', 0): 0.911504424778761,
  (1, 0, 'label', 1): 0.9622641509433962,
  (1, 1, 'label', 0): 0.09734513274336283,
  (1, 1, 'label', 1): 0.05660377358490566,
  (2, 0, 'label', 0): 0.3008849557522124,
  (2, 0, 'label', 1): 0.2641509433962264,
  (2, 1, 'label', 0): 0.7079646017699115,
  (2, 1, 'label', 1): 0.7547169811320755,
  (3, 0, 'label', 0): 0.8672566371681416,
  (3, 0, 'label', 1): 0.8113207547169812,
  (3, 1, 'label', 0): 0.1415929203539823,
  (3, 1, 'label', 1): 0.20754716981132076,
  (4, 0, 'label', 0): 0.9557522123893806,
  (4, 0, 'label', 1): 0.9811320754716981,
  (4, 1, 'label', 0): 0.05309734513274336,
  (4, 1, 'label', 1): 0.03773584905660377,
  (5, 0, 'label', 0): 0.9823008849557522,
  (5, 0, 'label', 1): 1.0,
  (5, 1, 'label', 0): 0.02654867256637168,
  (5, 1, 'label', 1): 0.018867924528301886,
  (6, 0, 'label', 0): 1.0,
  (6, 0, 'label', 1): 1.0,
  (6, 1, 'label', 0): 0.008849557522123894,
  (6, 1, 'label', 1): 0.018867924528301886,
  (7, 0, 'label', 0): 0.9557522123893806,
  (7, 0, 'label', 1): 1.0,
  (7, 1, 'label', 0): 0.05309734513274336,
  (7, 1, 'label', 1): 0.018867924528301886,
  (8, 0, 'label', 0): 0.5575221238938053,
  (8, 0, 'label', 1): 0.33962264150943394,
  (8, 1, 'label', 0): 0.45132743362831856,
  (8, 1, 'label', 1): 0.6792452830188679,
  (9, 0, 'label', 0): 0.5929203539823009,
  (9, 0, 'label', 1): 0.6981132075471698,
  (9, 1, 'label', 0): 0.415929203539823,
  (9, 1, 'label', 1): 0.32075471698113206,
  (10, 0, 'label', 0): 0.911504424778761,
  (10, 0, 'label', 1): 0.9811320754716981,
  (10, 1, 'label', 0): 0.09734513274336283,
  (10, 1, 'label', 1): 0.03773584905660377,
  (11, 0, 'label', 0): 0.9911504424778761,
  (11, 0, 'label', 1): 1.0,
  (11, 1, 'label', 0): 0.017699115044247787,
  (11, 1, 'label', 1): 0.018867924528301886,
